step,t_zone,t_zone_next,p_total,a0_raw,a1_raw,t_amb,q_internal,t_zone_true,t_next_true,p_true,latency_steps,sensor_bias
74,27.4968,27.444,262.17,-0.42224,0.3249,2.488,54.71,26.3976,21.7265,269.07,1,0.5
75,21.731,22.3812,293.01,-0.27583,0.1225,3.729,39.59,21.7265,20.1082,285.73,1,0.5
76,20.435,20.1026,729.7,0.57629,0.34481,3.117,37.27,20.1082,32.1111,745.11,1,0.5
77,32.7725,32.8252,251.95,-0.38066,0.17174,5.706,21.53,32.1111,25.5597,255.08,1,0.5
78,26.1321,26.201,486.03,0.02926,0.35457,9.354,41.19,25.5597,30.5571,490.06,1,0.5
79,30.8971,30.9356,467.72,-0.13891,0.55493,9.088,29.19,30.5571,32.9547,470.64,1,0.5
80,32.8737,33.0064,42.45,-0.83038,-0.31615,4.141,46.2,32.9547,18.2631,40.77,1,0.5
81,18.9729,18.3819,808.96,0.14974,0.99516,5.516,43.25,18.2631,33.0329,806.31,1,0.5
82,33.0137,33.709,33.91,-0.26924,-0.86567,3.829,86.96,33.0329,18.2613,34.51,1,0.5
83,18.8571,18.4906,1012.48,0.91842,0.50393,5.532,74.25,18.2613,38.8878,1014.13,1,0.5
84,39.2851,39.6233,234.19,-0.35227,0.04353,-0.117,17.69,38.8878,25.8137,237.59,1,0.5
85,26.3954,26.4398,347.03,0.74863,-0.43351,1.05,66.72,25.8137,23.3913,348.19,1,0.5
86,24.0076,23.7475,294.7,-0.35213,0.25646,7.45,62.5,23.3913,22.904,286.13,1,0.5
87,23.6412,22.7284,326.05,-0.32458,0.39521,3.623,41.5,22.904,22.0773,331.24,1,0.5
88,22.3293,22.5038,226.55,0.03218,-0.37486,-1.961,30.73,22.0773,15.8012,226.81,1,0.5
89,15.992,16.4955,169.74,-0.39586,-0.21175,8.148,30.48,15.8012,15.8249,167.39,1,0.5
90,16.3208,16.5307,780.09,0.37841,0.64365,1.895,49.76,15.8249,30.1107,796.37,1,0.5
91,30.5055,31.0491,468.06,-0.04027,0.36652,4.711,72.56,30.1107,31.1151,460.99,1,0.5
92,31.6999,31.5588,337.2,-0.29417,0.35487,1.58,27.61,31.1151,25.9322,336.14,1,0.5
93,26.5157,26.7886,202.86,0.2403,-0.51672,7.333,66.14,25.9322,22.0654,210.69,1,0.5
94,22.2593,22.2975,331.64,-0.24837,0.26283,5.297,68.62,22.0654,22.6187,333.64,1,0.5
95,23.1221,23.3752,348.5,-0.1864,0.20791,1.955,90.98,22.6187,22.0521,345.44,1,0.5
96,22.744,22.017,3.24,-0.84378,-0.94033,8.749,62.71,22.0521,15.0767,3.28,1,0.5
97,15.6018,15.9819,1053.98,0.63592,0.82552,1.16,83.64,15.0767,36.5962,1049.72,1,0.5
98,37.0998,37.0723,263.95,-0.43027,0.29488,1.72,57.94,36.5962,26.5961,259.32,1,0.5
99,27.6354,27.0508,277.61,-0.32029,0.19176,5.034,54.98,26.5961,23.4788,284.73,1,0.5
100,23.755,24.2966,338.59,-0.31227,0.39957,6.534,57.83,23.4788,23.9984,338.33,1,0.5
101,24.8062,24.8284,674.26,0.35524,0.45154,2.465,28.33,23.9984,33.1348,691.47,1,0.5
102,33.5951,33.4836,585.88,0.59206,0.04046,4.043,54.34,33.1348,36.7128,582.25,1,0.5
103,37.0244,37.6442,231.03,0.9231,-0.64312,3.794,54.88,36.7128,26.9454,241.24,1,0.5
104,27.0968,26.6436,556.01,0.03404,0.48343,-0.586,50.58,26.9454,29.5625,539.18,1,0.5
105,30.1813,30.4907,270.17,-0.38943,0.26737,1.617,42.4,29.5625,23.043,272.0,1,0.5
106,24.0942,23.6527,324.21,-0.30933,0.31311,10.715,50.71,23.043,24.9485,318.78,1,0.5
107,26.4022,25.4579,318.37,-0.34898,0.39086,2.878,69.38,24.9485,22.7623,318.28,1,0.5
108,23.3459,22.8297,327.6,0.9098,-0.51281,6.01,58.5,22.7623,23.0472,327.05,1,0.5
109,23.5297,23.5332,336.86,0.04402,-0.06317,2.919,66.62,23.0472,22.4493,343.79,1,0.5
110,23.033,22.883,39.27,-0.77862,-0.49513,7.173,51.26,22.4493,15.2584,39.29,1,0.5
111,15.7273,15.845,814.67,0.3828,0.69067,5.677,68.95,15.2584,31.3577,821.76,1,0.5
112,32.2312,31.8693,291.12,-0.35577,0.25916,-2.505,15.92,31.3577,22.392,285.13,1,0.5
113,22.7985,22.9228,218.04,-0.25749,-0.19029,2.972,32.75,22.392,17.8628,211.33,1,0.5
114,18.3186,18.04,878.55,0.3723,0.80699,3.133,91.21,17.8628,34.4077,871.63,1,0.5
115,34.6822,35.0665,398.37,-0.18425,0.44363,6.667,37.56,34.4077,32.6692,413.94,1,0.5
116,33.5782,33.7338,292.4,-0.35714,0.28338,4.046,32.66,32.6692,26.3648,290.0,1,0.5
117,26.8139,27.359,652.98,0.9045,-0.03594,4.303,51.51,26.3648,34.1311,645.37,1,0.5
118,34.724,34.8971,157.02,-0.76209,0.8337,1.547,48.24,34.1311,21.3526,153.34,1,0.5
119,21.9998,20.7581,1147.71,0.97721,0.63662,5.868,42.89,21.3526,40.0,1137.43,1,0.5
120,39.983,41.1729,385.59,-0.31519,0.58891,6.433,26.75,40.0,34.7458,382.47,1,0.5
121,35.2453,34.8364,2.04,0.27803,-0.99538,9.851,52.62,34.7458,21.0376,2.07,1,0.5
122,21.4609,21.7227,342.03,0.26457,-0.21415,7.773,50.69,21.0376,23.3633,349.31,1,0.5
123,23.5634,23.4041,357.45,-0.25562,0.34634,8.314,41.75,23.3633,24.9423,352.27,1,0.5
124,25.5111,25.6236,931.57,0.78498,0.49924,6.123,62.64,24.9423,40.0,940.65,1,0.5
125,40.4092,40.6058,419.61,0.47702,-0.19372,7.612,79.59,40.0,36.955,418.6,1,0.5
126,37.685,37.6451,279.29,-0.37293,0.25855,5.392,66.48,36.955,29.1857,277.4,1,0.5
127,29.6866,30.1184,295.05,-0.26212,0.17652,7.01,42.5,29.1857,26.3173,305.15,1,0.5
128,26.6671,27.0032,53.98,-0.44969,-0.72269,1.865,29.58,26.3173,14.3096,53.64,1,0.5
129,14.9116,14.8204,830.85,0.46356,0.58198,6.229,62.32,14.3096,30.4841,813.83,1,0.5
130,30.9827,30.9837,324.48,-0.25148,0.24721,8.563,54.06,30.4841,28.5356,328.14,1,0.5
131,29.3314,29.0661,368.58,0.0891,-0.02035,7.417,63.55,28.5356,28.4431,375.03,1,0.5
132,28.7144,28.8819,322.43,-0.25625,0.17582,3.387,60.85,28.4431,24.5348,307.39,1,0.5
133,25.0677,25.1683,351.67,-0.25888,0.31183,0.868,79.44,24.5348,22.481,341.74,1,0.5
134,22.9349,23.1175,3.54,-0.98499,-0.32774,3.631,72.64,22.481,12.4367,3.55,1,0.5
135,13.3702,13.0047,285.6,0.99722,-0.61482,4.409,27.71,12.4367,14.8118,270.41,1,0.5
136,15.7075,15.3304,152.17,-0.724,0.58148,3.24,78.71,14.8118,12.9226,153.42,1,0.5
137,13.4557,13.4252,329.98,-0.15301,0.10437,0.806,19.13,12.9226,14.9155,328.79,1,0.5
138,15.654,15.7881,1011.74,0.45569,0.95333,3.032,74.53,14.9155,35.271,999.47,1,0.5
139,36.1101,35.5327,936.78,0.57493,0.66424,6.795,60.39,35.271,40.0,921.3,1,0.5
140,40.8911,40.5237,179.39,0.78606,-0.71218,9.462,44.57,40.0,29.1686,180.69,1,0.5
141,30.0087,29.5979,0.32,-0.99896,-0.12737,6.056,30.23,29.1686,16.2305,0.32,1,0.5
142,16.6753,16.6516,1023.75,0.7216,0.64625,10.314,48.03,16.2305,37.1349,996.22,1,0.5
143,37.4292,37.6361,508.57,0.50466,0.00836,4.505,75.77,37.1349,38.0247,533.31,1,0.5
144,39.0403,38.4094,371.69,-0.23099,0.34731,-1.005,39.14,38.0247,29.9534,364.19,1,0.5
145,30.7591,30.4866,424.47,0.30708,-0.10254,5.552,69.25,29.9534,29.751,412.33,1,0.5
146,30.2514,29.7988,262.07,0.31215,-0.42183,-2.353,21.65,29.751,20.9747,266.66,1,0.5
147,21.1792,20.9023,41.0,-0.90108,0.20312,12.372,86.03,20.9747,17.8471,41.83,1,0.5
148,18.312,18.4723,994.67,0.51486,0.83662,4.745,18.0,17.8471,36.962,977.95,1,0.5
149,37.0659,37.5717,266.22,-0.57545,0.78902,2.599,62.66,36.962,27.516,266.98,1,0.5
150,28.1999,28.6041,399.28,-0.22499,0.49338,9.595,70.15,27.516,29.719,406.82,1,0.5
151,29.8506,30.1883,103.28,-0.15453,-0.64772,9.455,28.83,29.719,21.5391,104.69,1,0.5
152,21.844,21.8924,224.05,-0.47039,0.22097,2.863,32.41,21.5391,17.8348,227.3,1,0.5
153,18.279,18.7322,108.99,0.23914,-0.75606,-2.955,22.44,17.8348,10.0,106.25,1,0.5
154,10.4867,10.327,184.83,-0.19747,-0.35213,6.233,65.65,10.0,12.6214,182.76,1,0.5
155,13.2893,13.1474,663.21,-0.01266,0.94177,3.351,27.54,12.6214,24.6782,673.89,1,0.5
156,25.2763,24.8778,124.44,-0.79343,0.73229,5.08,61.41,24.6782,17.7572,125.78,1,0.5
157,18.7623,17.7894,851.8,0.31923,0.78284,8.135,51.36,17.7572,33.8236,826.72,1,0.5
158,34.6138,34.3121,305.52,-0.36285,0.37745,2.609,56.04,33.8236,27.2046,308.49,1,0.5
159,28.2265,27.67,605.64,0.12534,0.51108,7.998,51.95,27.2046,34.403,597.72,1,0.5
160,34.6522,35.015,522.01,0.89104,-0.21503,6.951,61.87,34.403,36.5659,521.77,1,0.5
161,36.8788,36.4147,343.74,-0.3218,0.41936,3.201,82.4,36.5659,30.2952,338.36,1,0.5
162,30.1909,31.0424,456.88,0.75753,-0.25388,5.181,55.01,30.2952,31.2541,460.93,1,0.5
163,31.805,31.5557,308.97,-0.21545,0.14244,3.816,7.42,31.2541,26.0946,315.05,1,0.5
164,26.2474,25.8504,356.04,-0.22461,0.27489,5.16,8.31,26.0946,24.7667,347.47,1,0.5
165,24.9677,25.3878,970.46,0.5895,0.67543,-3.334,43.05,24.7667,40.0,936.08,1,0.5
166,40.6696,40.3318,153.59,0.38025,-0.67322,4.391,57.52,40.0,25.962,158.54,1,0.5
167,26.4553,26.6846,239.64,-0.45889,0.28762,5.686,69.35,25.962,22.3464,244.91,1,0.5
168,22.283,23.0438,417.63,-0.11405,0.34686,7.63,55.4,22.3464,26.0448,419.43,1,0.5
169,27.358,27.2377,735.86,0.0692,0.98709,2.606,58.56,26.0448,36.6576,746.8,1,0.5
170,37.2557,37.2634,1112.26,0.87175,0.67495,7.748,47.82,36.6576,40.0,1101.98,1,0.5
171,41.0739,40.7749,304.46,-0.3254,0.26222,3.871,39.86,40.0,30.7446,299.3,1,0.5
172,30.7246,31.5325,423.96,-0.16714,0.42456,3.861,57.54,30.7446,29.6173,417.04,1,0.5
173,29.6629,30.1705,628.54,0.59158,0.09135,6.215,17.89,29.6173,35.6044,610.54,1,0.5
174,36.1918,36.1327,192.15,-0.22732,-0.2768,8.678,0.0,35.6044,26.6936,196.42,1,0.5
175,27.5682,27.3322,385.03,-0.15226,0.24574,6.009,31.68,26.6936,26.3906,371.21,1,0.5
176,26.3292,26.7934,275.94,-0.44098,0.41825,6.808,46.35,26.3906,23.9083,278.68,1,0.5
177,24.3471,24.5623,364.99,-0.23483,0.29912,3.258,63.89,23.9083,23.2355,349.41,1,0.5
178,23.6099,24.0342,28.79,-0.81884,-0.54814,0.296,75.22,23.2355,11.6715,28.77,1,0.5
179,12.4628,11.8981,299.98,-0.35853,0.30638,4.348,45.81,11.6715,15.1159,294.56,1,0.5
180,15.8633,15.1253,845.92,0.4071,0.71318,6.964,64.91,15.1159,32.1315,847.33,1,0.5
181,32.7026,32.7397,291.58,-0.04411,-0.15647,3.68,0.0,32.1315,25.4028,283.42,1,0.5
182,25.4856,25.7248,383.86,-0.14836,0.26934,4.568,55.8,25.4028,25.5109,379.98,1,0.5
183,25.9132,26.0381,773.47,0.27587,0.71246,4.684,42.1,25.5109,37.2824,767.99,1,0.5
184,38.318,37.7945,472.17,-0.14984,0.62425,7.889,35.51,37.2824,37.3058,485.38,1,0.5
185,37.4199,37.1277,174.45,-0.60283,0.25365,0.719,14.65,37.3058,23.019,175.01,1,0.5
186,23.4617,23.688,81.5,-0.60467,-0.41734,11.288,20.86,23.019,18.6364,80.97,1,0.5
187,19.1708,19.19,99.12,-0.04319,-0.70515,7.333,33.81,18.6364,15.0723,99.16,1,0.5
188,15.3875,15.2273,516.63,-0.03775,0.56442,3.132,28.57,15.0723,22.5406,529.13,1,0.5
189,23.2542,23.1902,115.82,-0.64729,-0.06503,3.301,37.51,22.5406,15.3078,115.92,1,0.5
190,15.1756,15.2085,187.71,-0.12236,-0.39407,10.993,52.65,15.3078,17.6444,186.92,1,0.5
191,17.6397,17.3195,765.52,0.30655,0.6732,2.855,76.24,17.6444,31.1835,768.42,1,0.5
192,31.6132,31.8687,10.67,-0.96839,-0.0456,3.727,71.58,31.1835,16.4594,10.6,1,0.5
193,17.126,16.4532,258.68,-0.54964,0.58601,7.944,26.7,16.4594,18.1188,251.07,1,0.5
194,18.3397,18.5478,224.86,-0.46383,0.2126,4.217,66.8,18.1188,17.0063,228.53,1,0.5
195,16.972,17.3966,76.37,-0.88411,0.89859,6.654,57.91,17.0063,13.5872,77.34,1,0.5
196,13.6745,14.1292,898.27,0.48542,0.7608,2.814,65.43,13.5872,31.9372,919.36,1,0.5
197,32.1922,31.9611,344.12,-0.28379,0.37297,2.179,37.3,31.9372,27.0671,345.64,1,0.5
198,27.5747,27.8758,264.59,-0.42624,0.30294,6.025,49.74,27.0671,23.4698,262.77,1,0.5
199,23.3055,23.4835,290.47,-0.37031,0.28806,8.569,46.94,23.4698,23.2872,285.1,1,0.5
200,23.0839,23.5683,785.27,0.72363,0.2845,2.045,40.89,23.2872,35.2603,778.22,1,0.5
201,35.8737,36.1001,752.27,0.45963,0.50915,5.963,54.77,35.2603,40.0,774.28,1,0.5
202,40.8794,40.3849,1010.72,0.59212,0.81521,4.063,77.16,40.0,40.0,1015.85,1,0.5
203,40.5865,39.9669,414.93,-0.24679,0.59142,4.872,51.57,40.0,35.7408,421.34,1,0.5
204,36.338,36.5804,391.17,-0.18245,0.31924,6.732,50.93,35.7408,32.438,379.11,1,0.5
205,32.2347,32.9329,675.66,0.23783,0.51993,6.125,71.56,32.438,39.6442,661.32,1,0.5
206,40.2292,40.2952,278.98,-0.32038,0.15289,-0.296,69.48,39.6442,28.0328,275.41,1,0.5
207,27.8086,28.3246,377.55,-0.18305,0.28213,0.524,51.07,28.0328,24.9812,368.18,1,0.5
208,25.3292,24.9533,256.33,-0.45672,0.33885,6.609,42.29,24.9812,22.337,255.67,1,0.5
209,23.0625,22.6281,438.9,-0.12017,0.41914,12.161,28.0,22.337,28.0807,438.88,1,0.5
210,28.6479,28.7157,1178.05,0.95996,0.76706,5.846,36.03,28.0807,40.0,1217.37,1,0.5
211,40.4318,40.1924,278.27,-0.32806,0.14993,7.966,57.29,40.0,31.7345,271.6,1,0.5
212,32.0731,32.4964,317.29,-0.27521,0.28586,3.081,62.8,31.7345,26.9423,327.59,1,0.5
213,27.2818,28.1547,584.48,0.06259,0.55854,0.854,39.36,26.9423,31.3544,582.11,1,0.5
214,31.3331,32.4253,218.63,-0.53254,0.32368,1.616,40.13,31.3544,22.1378,217.5,1,0.5
215,22.5018,22.6038,227.09,-0.52757,0.3641,8.075,46.72,22.1378,20.7215,226.52,1,0.5
216,20.9177,20.8022,27.83,-0.57646,-0.82,3.249,39.43,20.7215,11.8501,26.8,1,0.5
217,12.1513,12.3613,918.72,0.44707,0.80733,8.382,51.95,11.8501,31.3791,919.29,1,0.5
218,31.8518,31.8222,228.05,-0.30787,-0.0647,4.357,21.16,31.3791,23.6303,227.54,1,0.5
219,23.8844,23.8979,275.06,-0.43118,0.36712,3.834,79.55,23.6303,21.1764,273.34,1,0.5
220,21.5033,21.5067,280.34,-0.36189,0.23436,3.525,67.86,21.1764,19.6986,276.86,1,0.5
221,20.5283,19.9653,872.36,0.50704,0.68238,10.13,95.35,19.6986,37.7999,891.2,1,0.5
222,38.1108,39.1427,138.07,-0.55526,-0.11807,1.844,47.11,37.7999,22.7364,137.87,1,0.5
223,23.101,23.2996,307.63,-0.27031,0.16532,1.114,84.12,22.7364,20.2763,298.89,1,0.5
224,20.4398,21.1401,619.17,0.84337,-0.01299,7.428,51.91,20.2763,30.6049,639.53,1,0.5
225,31.4377,31.0147,0.34,-0.99886,-0.13611,5.905,70.31,30.6049,17.1042,0.35,1,0.5
226,17.0485,17.7369,911.46,0.4557,0.79603,4.018,47.04,17.1042,34.8762,918.99,1,0.5
227,35.2849,35.6644,308.15,-0.30006,0.30397,5.277,11.58,34.8762,29.006,320.82,1,0.5
228,28.9201,29.7858,809.37,0.16489,0.98705,5.821,49.86,29.006,40.0,813.61,1,0.5
229,40.6452,40.7021,638.2,0.05708,0.66567,-1.323,65.38,40.0,40.0,618.91,1,0.5
230,40.7582,40.6244,295.29,-0.29426,0.18827,2.372,45.47,40.0,29.958,294.77,1,0.5
231,30.6316,30.4613,258.15,-0.39007,0.24127,5.659,44.83,29.958,24.9307,266.12,1,0.5
232,25.6944,25.6292,262.02,-0.41183,0.26154,1.069,9.25,24.9307,19.6308,260.81,1,0.5
233,19.9384,20.4439,17.27,0.16345,-0.95655,4.102,63.44,19.6308,11.8,17.77,1,0.5
234,12.418,12.3472,1021.64,0.6055,0.7861,6.967,28.31,11.8,32.9678,1007.96,1,0.5
235,33.4051,33.1095,647.99,0.31997,0.44963,3.888,54.71,32.9678,39.6145,672.59,1,0.5
236,39.7952,40.5412,14.53,-0.55117,-0.90807,7.189,86.18,39.6145,22.3369,14.5,1,0.5
237,22.6999,22.9998,284.94,-0.28004,0.14388,-1.024,55.33,22.3369,18.5636,289.48,1,0.5
238,19.3709,19.1995,139.93,-0.55282,-0.09021,1.589,6.88,18.5636,13.0276,143.0,1,0.5
239,13.3926,13.1793,976.05,0.487,0.86191,3.336,71.43,13.0276,32.9979,973.18,1,0.5
240,33.5076,32.6227,335.92,-0.24902,0.35519,3.59,58.71,32.9979,28.871,357.73,1,0.5
241,29.7281,29.6791,79.79,0.47954,-0.84997,3.152,70.51,28.871,17.3107,78.03,1,0.5
242,17.2343,18.0305,919.78,0.39828,0.88662,4.835,26.15,17.3107,35.2337,927.26,1,0.5
243,35.2179,35.3851,449.74,0.71912,-0.2436,2.41,75.87,35.2337,33.3519,457.07,1,0.5
244,33.6487,33.3111,209.91,-0.51804,0.26203,1.176,51.9,33.3519,22.9403,213.8,1,0.5
245,23.2146,23.2441,279.98,-0.27546,0.12236,2.386,90.02,22.9403,20.6097,285.84,1,0.5
246,21.1743,20.9176,663.82,0.44139,0.31643,7.724,25.95,20.6097,31.4444,666.97,1,0.5
247,31.8632,32.1834,86.16,-0.72042,-0.11785,2.797,59.7,31.4444,18.5081,86.69,1,0.5
248,18.9373,19.0733,100.49,0.30267,-0.78267,5.314,83.93,18.5081,14.3832,99.51,1,0.5
249,15.3558,14.7963,435.85,0.06088,0.18703,5.512,38.79,14.3832,20.8146,442.64,1,0.5
250,21.3741,21.6041,728.67,0.55453,0.32317,2.581,22.8,20.8146,31.7335,723.0,1,0.5
251,32.2599,32.0338,408.45,-0.07858,0.2548,5.912,48.17,31.7335,30.5971,406.4,1,0.5
252,31.2273,31.2848,555.17,-0.09498,0.68531,0.786,72.45,30.5971,32.5209,536.12,1,0.5
253,32.6415,32.8228,329.55,-0.28407,0.29719,6.976,49.8,32.5209,28.9197,326.44,1,0.5
