step,t_zone,co2,p_cool,p_fan,a0_raw,a1_raw,t_setpoint,fan_signal,t_zone_next,p_total,reward
37,15.6156,899.97,0.0,90.94,-0.72137,0.62072,21.557,0.8104,15.5209,92.09,-4.38696
38,15.5209,910.39,0.0,92.09,0.78593,-0.15019,24.572,0.4249,15.0,13.28,-5.3565
39,15.0,916.72,0.0,13.28,-0.45051,-1.0,22.099,0.0,15.0,0.0,-8.01279
40,15.0,920.58,0.0,0.0,0.77789,0.39185,24.556,0.6959,15.0,58.33,-5.15514
41,15.0,922.91,0.0,58.33,-0.10122,-0.00986,22.798,0.4951,15.0,21.0,-6.44712
42,15.0,718.86,0.0,21.0,-0.03311,-0.48939,22.934,0.2553,15.0,2.89,-7.89537
43,15.0,593.74,0.0,2.89,-0.50794,0.97941,21.984,0.9897,15.0,167.76,-5.44924
44,15.0,517.72,0.0,167.76,0.82882,-0.71097,24.658,0.1445,15.0,0.59,-9.2321
45,15.0,471.53,0.0,0.59,0.59832,-0.25887,24.197,0.3706,15.0,8.81,-7.92401
46,15.0,443.46,0.0,8.81,-0.14145,0.08392,22.717,0.542,15.0,27.55,-7.17313
47,15.0,426.41,0.0,27.55,-0.54355,-0.16268,21.913,0.4187,15.0,12.7,-7.90435
48,15.0,416.04,0.0,12.7,0.54072,0.54412,24.081,0.7721,15.0,79.64,-6.56151
49,15.0,409.75,0.0,79.64,-0.22082,0.08278,22.558,0.5414,15.0,27.46,-7.43426
50,15.0,405.92,0.0,27.46,-0.96897,-0.93864,21.062,0.0307,15.0,0.02,-11.93251
51,15.0,403.6,0.0,0.02,0.64877,0.94338,24.298,0.9717,15.0,158.76,-6.42396
52,15.0,402.19,0.0,158.76,-1.0,-0.55162,21.0,0.2242,15.0,1.97,-10.13475
53,15.0,401.33,0.0,1.97,-0.87293,-0.78214,21.254,0.1089,15.0,0.29,-11.85862
54,15.0,400.81,0.0,0.29,-1.0,-0.53815,21.0,0.2309,15.0,2.15,-10.60975
55,15.0,400.49,0.0,2.15,0.17358,0.72733,23.347,0.8637,15.0,111.48,-6.56162
56,15.0,605.78,0.0,111.48,0.22465,0.04929,23.449,0.5246,15.0,24.99,-7.5631
57,15.0,731.64,0.0,24.99,0.07603,-0.01977,23.152,0.4901,15.0,20.37,-7.43404
58,15.0,808.12,0.0,20.37,0.07391,-0.05971,23.148,0.4701,15.0,17.98,-5.89012
59,15.0,854.59,0.0,17.98,0.75167,-0.81321,24.503,0.0934,15.0,0.2,-6.6981
60,15.0,882.82,0.0,0.2,0.68533,-1.0,24.371,0.0,15.0,0.0,-7.33194
61,15.0,900.02,0.0,0.0,-0.28703,-0.46564,22.426,0.2672,15.0,3.3,-5.76969
62,15.0,910.39,0.0,3.3,-0.27084,0.39083,22.458,0.6954,15.1575,58.2,-4.6763
63,15.1575,916.73,0.0,58.2,-0.1293,0.70581,22.741,0.8529,15.0,107.37,-4.86227
64,15.0,920.58,0.0,107.37,-1.0,0.01779,21.0,0.5089,15.0,22.81,-5.84227
65,15.0,922.92,0.0,22.81,-0.28259,0.22749,22.435,0.6137,15.0,40.01,-6.35557
66,15.0,718.86,0.0,40.01,-0.95607,0.91628,21.088,0.9581,15.0,152.22,-5.68817
67,15.0,593.74,0.0,152.22,1.0,-0.08738,25.0,0.4563,15.0,16.44,-7.2895
68,15.0,517.72,0.0,16.44,-0.60528,-0.20039,21.789,0.3998,15.0,11.06,-7.7792
69,15.0,471.53,0.0,11.06,0.28142,-0.45299,23.563,0.2735,15.0,3.54,-8.77794
70,15.0,443.46,0.0,3.54,0.31743,0.45404,23.635,0.727,15.0,66.5,-6.82982
71,15.0,426.41,0.0,66.5,0.03909,0.92426,23.078,0.9621,15.0,154.12,-6.29564
72,15.0,416.05,0.0,154.12,-0.28876,-0.26949,22.422,0.3653,15.0,8.43,-8.86113
73,15.0,409.75,0.0,8.43,-0.00822,-0.88947,22.984,0.0553,15.0,0.06,-12.18709
74,15.0,405.92,0.0,0.06,0.9145,-0.14951,24.829,0.4252,15.0,13.31,-9.019
75,15.0,403.6,0.0,13.31,1.0,0.94285,25.0,0.9714,15.0,158.64,-6.83003
76,15.0,402.19,0.0,158.64,-0.95638,0.03023,21.087,0.5151,15.0,23.65,-8.55811
77,15.0,401.33,0.0,23.65,-0.23056,0.95311,22.539,0.9766,15.0,161.16,-6.91333
78,15.0,400.81,0.0,161.16,-0.0592,-0.28643,22.882,0.3568,15.0,7.86,-9.44433
79,15.0,400.49,0.0,7.86,-0.29193,0.20886,22.416,0.6044,15.0,38.21,-6.87217
80,15.0,605.78,0.0,38.21,-0.28879,0.4742,22.422,0.7371,15.0,69.3,-5.6064
81,15.0,731.64,0.0,69.3,0.98424,0.25615,24.968,0.6281,15.0474,42.88,-4.76382
82,15.0474,808.12,0.0,42.88,0.94486,0.67562,24.89,0.8378,16.3351,101.77,-3.73596
83,16.3351,854.59,0.0,101.77,0.36278,-0.14855,23.726,0.4257,16.8361,13.35,-3.33168
84,16.8361,882.82,0.0,13.35,0.92864,0.20955,24.857,0.6048,17.7829,38.28,-2.5752
85,17.7829,899.98,0.0,38.28,-0.70203,-0.05531,21.596,0.4723,18.1422,30.66,-2.28745
86,18.1422,910.4,12.42,18.24,-0.86386,-0.37253,21.272,0.3137,17.7871,5.34,-2.57055
87,17.7871,916.74,0.0,5.34,0.5286,-0.67359,24.057,0.1632,16.4984,0.81,-3.6013
88,16.4984,920.58,0.0,0.81,-0.37331,-0.84498,22.253,0.0775,15.0693,0.13,-4.74455
89,15.0693,922.92,0.0,0.13,0.61618,-0.16948,24.232,0.4153,15.0,12.39,-5.12692
90,15.0,718.86,0.0,12.39,0.12613,0.91654,23.252,0.9583,15.4047,152.28,-4.48236
91,15.4047,593.75,0.0,152.28,0.97909,0.26683,24.958,0.6334,15.0,43.98,-5.27419
92,15.0,517.72,0.0,43.98,-0.18591,0.14947,22.628,0.5747,15.0,32.85,-5.66261
93,15.0,471.53,0.0,32.85,0.19754,0.24569,23.395,0.6228,15.0,41.81,-5.71186
94,15.0,443.46,0.0,41.81,-0.59038,1.0,21.819,1.0,15.0,173.05,-5.09279
95,15.0,426.41,0.0,173.05,-0.80313,0.03329,21.394,0.5166,15.0,23.86,-6.34695
96,15.0,416.05,0.0,23.86,-0.88701,1.0,21.226,1.0,15.0,173.05,-5.28833
97,15.0,409.75,0.0,173.05,0.02871,-0.40199,23.057,0.299,15.0,4.63,-7.60314
98,15.0,405.92,0.0,4.63,0.42372,-0.97488,23.847,0.0126,15.0,0.0,-9.23122
99,15.0,403.6,0.0,0.0,-1.0,-0.99346,21.0,0.0033,15.0,0.0,-10.25066
100,15.0,402.19,0.0,0.0,-0.3573,-0.14628,22.285,0.4269,15.0,13.46,-7.11617
101,15.0,401.33,0.0,13.46,-0.14834,-0.97689,22.703,0.0116,15.0,0.0,-10.75726
102,15.0,400.81,0.0,0.0,-0.014,0.75747,22.972,0.8787,15.0,117.42,-5.51416
103,15.0,400.49,0.0,117.42,-0.99432,0.98898,21.011,0.9945,16.076,170.21,-3.94601
104,16.076,605.78,0.0,170.21,-0.96068,-0.10552,21.079,0.4472,16.4074,15.48,-3.67468
105,16.4074,731.64,0.0,15.48,-0.90759,1.0,21.185,1.0,17.7671,173.05,-2.59322
106,17.7671,808.12,0.0,173.05,-0.34356,1.0,22.313,1.0,18.5751,279.38,-1.95108
107,18.5751,854.59,106.33,173.05,0.0491,-0.00722,23.098,0.4964,19.9063,196.12,-0.88283
108,19.9063,882.82,174.96,21.17,0.04228,0.31448,23.085,0.6572,20.4609,348.19,-0.44518
109,20.4609,899.98,299.06,49.13,0.09266,0.42601,23.185,0.713,20.584,403.48,-0.34897
110,20.584,910.4,340.75,62.73,0.41163,-0.24851,23.823,0.3757,21.2955,238.25,-0.00953
111,21.2955,916.74,229.07,9.18,0.31638,0.95497,23.633,0.9775,19.4612,425.86,-1.24809
112,19.4612,920.58,264.24,161.62,-0.85124,-0.17984,21.298,0.4101,19.5166,126.96,-1.19177
113,19.5166,922.92,115.02,11.93,0.98912,1.0,24.978,1.0,18.1233,195.78,-2.30922
114,18.1233,718.86,22.73,173.05,-0.2203,-0.98692,22.559,0.0065,17.6773,0.0,-2.65815
115,17.6773,593.74,0.0,0.0,-0.20873,-0.99895,22.583,0.0005,16.8442,0.0,-3.32462
116,16.8442,517.65,0.0,0.0,0.39277,-0.1158,23.786,0.4421,16.9954,14.95,-3.20429
117,16.9954,471.55,0.0,14.95,0.58171,-0.52698,24.163,0.2365,16.3411,2.3,-3.72723
118,16.3411,443.48,0.0,2.3,0.44139,-0.27278,23.883,0.3636,16.3122,8.32,-3.75054
119,16.3122,426.42,0.0,8.32,-0.97814,-0.82255,21.044,0.0887,15.2003,0.18,-4.63978
120,15.2003,416.05,0.0,0.18,-0.28688,0.61964,22.426,0.8098,16.456,91.91,-3.63887
121,16.456,409.75,0.0,91.91,0.48095,-0.26573,23.962,0.3671,15.72,8.56,-4.22435
122,15.72,405.93,0.0,8.56,-0.20372,0.93175,22.593,0.9659,16.6072,155.93,-3.52045
123,16.6072,403.6,0.0,155.93,0.49026,0.28604,23.981,0.643,15.9349,46.01,-4.05389
124,15.9349,402.19,0.0,46.01,0.18899,0.99554,23.378,0.9978,16.2951,171.9,-3.77076
125,16.2951,401.33,0.0,171.9,1.0,-0.99201,25.0,0.004,15.0,0.0,-6.44171
126,15.0,400.81,0.0,0.0,0.0353,-0.48244,23.071,0.2588,15.0,3.0,-5.13229
127,15.0,400.49,0.0,3.0,0.14023,-0.99113,23.28,0.0044,16.7798,0.0,-3.37616
128,16.7798,605.8,0.0,0.0,-0.39598,-0.06252,22.208,0.4687,18.8317,89.89,-1.73824
129,18.8317,731.63,72.07,17.82,0.28911,-0.92051,23.578,0.0397,21.7417,27.53,-0.0011
130,21.7417,808.11,27.49,0.03,0.88899,-0.85518,24.778,0.0724,23.7214,76.73,-0.00307
131,23.7214,854.58,76.62,0.11,0.97681,0.84629,24.954,0.9231,21.5978,750.17,-0.03001
132,21.5978,882.82,614.03,136.14,0.0727,-0.99556,23.145,0.0022,27.6274,3.99,-2.10211
133,27.6274,899.98,3.99,0.0,-0.31015,0.81542,22.38,0.9077,22.4177,871.0,-0.03484
134,22.4177,910.4,741.58,129.42,0.45413,0.44764,23.908,0.7238,22.6031,681.91,-0.02728
135,22.6031,916.73,616.28,65.62,-0.99512,-0.83378,21.01,0.0831,25.1478,110.11,-0.12264
136,25.1478,920.58,109.95,0.15,1.0,0.51952,25.0,0.7598,21.1842,523.56,-0.02094
137,21.1842,922.92,447.67,75.89,-0.89234,-1.0,21.215,0.0,22.582,0.0,0.0
138,22.582,718.31,0.0,0.0,0.20941,-0.59855,23.419,0.2007,20.909,109.36,-0.07716
139,20.909,593.85,107.92,1.43,0.95801,-0.57953,24.916,0.2102,20.3771,93.97,-0.50211
140,20.3771,517.78,92.34,1.64,-0.0858,-0.39222,22.828,0.3039,19.5307,90.82,-1.17907
141,19.5307,471.57,85.96,4.86,-0.42848,-0.65741,22.143,0.1713,19.2905,41.75,-1.36929
142,19.2905,443.49,40.83,0.92,0.59508,-0.33991,24.19,0.33,18.9297,62.87,-1.65874
143,18.9297,426.42,56.65,6.22,-0.50085,0.77019,21.998,0.8851,18.2382,158.92,-2.2158
144,18.2382,416.05,38.93,119.99,0.24638,0.23532,23.493,0.6177,17.9469,40.78,-2.44415
145,17.9469,409.75,0.0,40.78,-0.12144,-0.93231,22.757,0.0338,17.3939,0.02,-2.88491
146,17.3939,405.93,0.0,0.02,-0.10255,1.0,22.795,1.0,17.4762,173.05,-2.82595
147,17.4762,403.6,0.0,173.05,0.22667,0.13944,23.453,0.5697,17.0878,32.0,-3.13102
148,17.0878,402.19,0.0,32.0,0.16938,0.9919,23.339,0.996,17.1652,170.96,-3.07466
149,17.1652,401.33,0.0,170.96,1.0,-0.99765,25.0,0.0012,15.4393,0.0,-4.44859
150,15.4393,400.81,0.0,0.0,0.49023,-0.49785,23.98,0.2511,16.2932,2.75,-3.76557
151,16.2932,400.49,0.0,2.75,0.24759,0.80346,23.495,0.9017,18.4906,208.72,-2.01584
152,18.4906,605.78,81.84,126.88,-0.53064,0.9453,21.939,0.9726,19.4192,414.52,-1.28119
153,19.4192,731.64,255.28,159.24,0.95475,0.9177,24.91,0.9589,20.449,586.84,-0.46429
154,20.449,808.12,434.29,152.56,-0.99426,0.64934,21.011,0.8247,21.6173,648.82,-0.02595
155,21.6173,854.59,551.77,97.05,-0.36863,1.0,22.263,1.0,21.8837,891.4,-0.03566
156,21.8837,882.82,718.35,173.05,-0.04552,-1.0,22.909,0.0,28.7669,0.0,-3.01354
157,28.7669,900.03,0.0,0.0,-0.04934,0.09319,22.901,0.5466,24.3292,668.13,-0.02673
158,24.3292,910.39,639.87,28.26,-1.0,-0.23343,21.0,0.3833,24.9266,500.82,-0.02003
159,24.9266,916.72,491.08,9.74,-0.08755,-0.99807,22.825,0.001,27.6662,1.74,-2.13305
160,27.6662,920.57,1.74,0.0,0.0414,-0.28792,23.083,0.356,23.3624,361.06,-0.01444
161,23.3624,922.91,353.25,7.81,0.67102,-0.43277,24.342,0.2836,22.0971,218.8,-0.00875
162,22.0971,718.85,214.85,3.95,0.82474,-0.49016,24.649,0.2549,21.419,163.98,-0.00656
163,21.419,593.74,161.1,2.87,-0.32769,0.99722,22.345,0.9986,19.4998,449.16,-1.2181
164,19.4998,517.71,276.83,172.33,-0.84377,0.02608,21.312,0.513,19.5075,166.28,-1.20066
165,19.5075,471.52,142.91,23.37,0.88955,0.11662,24.779,0.5583,19.0176,135.08,-1.59129
166,19.0176,443.46,104.96,30.11,0.29927,0.56154,23.599,0.7808,18.4894,152.95,-2.01457
167,18.4894,426.41,70.58,82.36,0.01085,0.87723,23.022,0.9386,18.1633,171.41,-2.27618
168,18.1633,416.04,28.31,143.1,0.23909,-1.0,23.478,0.0,17.8736,0.0,-2.50114
169,17.8736,409.73,0.0,0.0,-0.45466,0.24388,22.091,0.6219,17.597,41.63,-2.72405
170,17.597,405.93,0.0,41.63,-0.25754,0.05628,22.485,0.5281,17.3102,25.49,-2.95282
171,17.3102,403.6,0.0,25.49,0.6795,-0.85908,24.359,0.0705,16.5516,0.11,-3.55871
172,16.5516,402.19,0.0,0.11,-0.22229,0.0177,22.555,0.5088,16.8235,22.8,-3.34212
173,16.8235,401.33,0.0,22.8,0.06312,0.01454,23.126,0.5073,16.5684,22.59,-3.54618
174,16.5684,400.81,0.0,22.59,-1.0,0.02094,21.0,0.5105,16.6508,23.02,-3.48027
175,16.6508,400.49,0.0,23.02,0.19076,0.19924,23.382,0.5996,18.4174,83.64,-2.06945
176,18.4174,605.78,46.33,37.31,-1.0,0.30081,21.0,0.6504,19.4773,225.33,-1.22719
177,19.4773,731.64,177.71,47.61,0.71363,1.0,24.427,1.0,20.1043,562.26,-0.73905
178,20.1043,808.12,389.21,173.05,-0.10299,0.22705,22.794,0.6135,21.9436,487.55,-0.0195
179,21.9436,854.58,447.58,39.96,0.35396,-0.47997,23.708,0.26,24.8172,330.96,-0.01324
180,24.8172,882.82,327.91,3.05,-0.90467,0.28518,21.191,0.6426,23.4003,687.86,-0.02751
181,23.4003,899.97,641.95,45.92,-0.59589,-0.30595,21.808,0.347,25.3551,479.42,-0.30327
182,25.3551,910.4,472.18,7.23,0.05843,-0.31982,23.117,0.3401,25.1076,453.95,-0.10424
183,25.1076,916.73,447.15,6.81,0.9996,0.67035,24.999,0.8352,22.0647,728.8,-0.02915
184,22.0647,920.58,627.99,100.81,0.75257,-0.03743,24.505,0.4813,22.4003,411.11,-0.01644
185,22.4003,922.92,391.82,19.29,0.12468,0.24135,23.249,0.6207,20.7296,354.6,-0.23046
186,20.7296,718.86,313.22,41.38,0.04052,-0.02259,23.081,0.4887,20.3734,234.58,-0.51067
187,20.3734,593.74,214.38,20.2,-1.0,-0.60686,21.0,0.1966,20.388,88.11,-0.49313
188,20.388,517.72,86.76,1.35,-0.64873,-0.17716,21.703,0.4114,19.3734,116.45,-1.30595
189,19.3734,471.53,104.39,12.05,0.76187,-0.13549,24.524,0.4323,18.8344,80.6,-1.73569
190,18.8344,443.46,66.62,13.98,-0.01487,0.33935,22.97,0.6697,18.2969,88.69,-2.16605
191,18.2969,426.41,36.72,51.97,-0.86129,-0.28495,21.277,0.3575,17.933,7.91,-2.45391
192,17.933,416.05,0.0,7.91,-0.86627,1.0,21.267,1.0,17.731,173.05,-2.62215
193,17.731,409.75,0.0,173.05,-0.32871,-0.02981,22.343,0.4851,17.2559,19.75,-2.9961
194,17.2559,405.92,0.0,19.75,0.48879,-0.15908,23.978,0.4205,16.9482,12.86,-3.24196
195,16.9482,403.6,0.0,12.86,-0.3864,-0.15314,22.227,0.4234,16.6635,13.14,-3.46973
196,16.6635,402.19,0.0,13.14,-0.80449,0.19049,21.391,0.5952,16.6221,36.5,-3.5038
197,16.6221,401.33,0.0,36.5,-0.46987,0.81317,22.06,0.9066,16.8106,128.94,-3.35666
198,16.8106,400.81,0.0,128.94,-0.84976,-0.2809,21.3,0.3595,16.3257,8.04,-3.73979
199,16.3257,400.49,0.0,8.04,0.88837,0.66283,24.777,0.8314,18.4942,175.44,-2.01166
200,18.4942,605.78,75.98,99.45,0.8631,0.73565,24.726,0.8678,19.4827,350.94,-1.22784
201,19.4827,731.64,237.84,113.1,-0.12901,-0.92792,22.742,0.036,23.6677,37.79,-0.00151
202,23.6677,808.12,37.76,0.03,-0.54407,-0.49727,21.912,0.2514,24.0967,286.04,-0.01144
203,24.0967,854.58,283.28,2.76,-0.02117,0.84417,22.958,0.9221,22.3106,870.49,-0.03482
204,22.3106,882.82,734.82,135.67,-0.79549,1.0,21.409,1.0,22.4916,1003.48,-0.04014
205,22.4916,899.97,830.43,173.05,-0.40374,0.75932,22.193,0.8797,22.9891,929.24,-0.03717
206,22.9891,910.4,811.45,117.79,0.66346,0.84493,24.327,0.9225,22.5316,908.98,-0.03636
207,22.5316,916.73,773.14,135.84,0.17283,1.0,23.346,1.0,21.5849,836.24,-0.03345
208,21.5849,920.58,663.19,173.05,0.64491,-0.73455,24.29,0.1327,24.3232,155.76,-0.00623
209,24.3232,922.92,155.29,0.47,-0.98519,0.9496,21.03,0.9748,20.1885,554.8,-0.67135
210,20.1885,718.86,394.51,160.29,-0.19339,-0.15679,22.613,0.4216,20.5858,214.51,-0.33995
211,20.5858,593.74,201.54,12.97,-0.58477,0.98904,21.83,0.9945,19.3428,417.05,-1.34246
212,19.3428,517.72,246.83,170.22,-0.44902,-0.43637,22.102,0.2818,19.7286,93.89,-1.02088
213,19.7286,471.53,90.02,3.87,-0.59095,0.29313,21.818,0.6466,18.904,154.78,-1.683
214,18.904,443.46,108.01,46.77,0.54732,-0.24789,24.095,0.3761,18.747,61.09,-1.80481
215,18.747,426.41,51.89,9.2,0.01767,0.50196,23.035,0.751,18.4037,129.28,-2.08221
216,18.4037,416.05,55.99,73.29,0.12834,-0.17828,23.257,0.4109,18.2687,32.37,-2.18637
217,18.2687,409.75,20.37,12.0,1.0,0.32885,25.0,0.6644,18.0838,61.01,-2.33542
218,18.0838,405.92,10.25,50.76,-1.0,-0.95854,21.0,0.0207,17.8558,0.01,-2.51532
219,17.8558,403.6,0.0,0.01,-0.70716,0.52556,21.586,0.7628,17.679,76.8,-2.65988
220,17.679,402.19,0.0,76.8,0.44946,0.3379,23.899,0.6689,17.4162,51.8,-2.86909
221,17.4162,401.33,0.0,51.8,-0.37264,-0.0015,22.255,0.4992,17.1233,21.53,-3.10222
222,17.1233,400.81,0.0,21.53,0.66203,0.85459,24.324,0.9273,17.527,137.98,-2.78389
223,17.527,400.49,0.0,137.98,0.74111,0.09026,24.482,0.5451,19.1417,143.08,-1.49239
224,19.1417,605.78,115.05,28.03,-0.3971,0.33398,22.206,0.667,20.0369,302.5,-0.78258
225,20.0369,731.64,251.15,51.35,1.0,0.32789,25.0,0.6639,21.2379,448.12,-0.01792
226,21.2379,808.12,397.47,50.65,-0.50605,-0.97789,21.988,0.0111,26.8714,18.15,-1.49782
227,26.8714,854.59,18.15,0.0,0.58048,-0.78142,24.161,0.1093,27.5324,192.98,-2.03366
228,27.5324,882.82,192.69,0.29,-0.46408,-0.1589,22.072,0.4206,25.4593,593.14,-0.39116
229,25.4593,899.97,580.27,12.87,-1.0,-0.0184,21.0,0.4908,25.3339,686.28,-0.29454
230,25.3339,910.4,665.82,20.46,-0.1387,0.71216,22.723,0.8561,23.2807,945.09,-0.0378
231,23.2807,916.73,836.52,108.57,-0.61493,-0.1733,21.77,0.4133,24.3098,494.97,-0.0198
232,24.3098,920.58,482.75,12.22,0.6556,0.5316,24.311,0.7658,22.123,662.14,-0.02649
233,22.123,922.92,584.42,77.72,-0.61416,-0.18014,21.772,0.4099,21.9139,308.68,-0.01235
234,21.9139,718.86,296.76,11.92,-1.0,-0.36848,21.0,0.3158,21.5917,215.16,-0.00861
235,21.5917,593.74,209.71,5.45,0.53593,-0.56445,24.072,0.2178,21.3149,135.29,-0.00541
236,21.3149,517.72,133.48,1.81,-0.8857,-0.44278,21.229,0.2786,20.5152,133.3,-0.39316
237,20.5152,471.53,129.55,3.74,1.0,0.85337,25.0,0.9267,19.1705,338.22,-1.47714
238,19.1705,443.46,200.51,137.71,0.48704,-0.21961,23.974,0.3902,19.3043,104.33,-1.36075
239,19.3043,426.41,94.05,10.28,-0.33708,-0.52343,22.326,0.2383,19.0922,50.44,-1.52827
240,19.0922,416.05,48.08,2.35,-0.44863,-0.23178,22.103,0.3841,18.5886,51.56,-1.93121
241,18.5886,409.75,41.76,9.81,-0.60081,-0.27344,21.798,0.3633,18.1872,20.86,-2.25108
242,18.1872,405.92,12.56,8.3,-0.80552,-0.51109,21.389,0.2445,17.9898,2.54,-2.40826
243,17.9898,403.6,0.0,2.54,0.95034,-0.31845,24.901,0.3408,17.807,6.85,-2.55471
244,17.807,402.19,0.0,6.85,-0.93057,0.44611,21.139,0.7231,17.6974,65.42,-2.64467
245,17.6974,401.33,0.0,65.42,0.01464,0.14174,23.029,0.5709,17.5044,32.19,-2.79778
246,17.5044,400.81,0.0,32.19,-0.55264,-0.05565,21.895,0.4722,17.3231,18.22,-2.94225
247,17.3231,400.49,0.0,18.22,-0.03662,0.96111,22.927,0.9806,18.21,201.25,-2.24006
248,18.21,605.78,38.1,163.15,-1.0,-0.51761,21.0,0.2412,18.6587,31.83,-1.87428
249,18.6587,731.64,29.39,2.44,0.38959,0.20381,23.779,0.6019,18.7987,126.64,-1.76611
250,18.7987,808.12,88.91,37.74,-0.5825,0.34496,21.835,0.6725,20.3719,347.61,-0.51635
251,20.3719,854.58,294.98,52.63,0.97377,1.0,24.948,1.0,20.8991,709.24,-0.10905
252,20.8991,882.82,536.19,173.05,-0.15515,0.98854,22.69,0.9943,21.4579,805.91,-0.03224
253,21.4579,899.97,635.82,170.09,0.33432,-0.7321,23.669,0.1339,25.949,197.37,-0.7671
254,25.949,910.4,196.89,0.48,-0.54996,0.94965,21.9,0.9748,21.8215,849.21,-0.03397
255,21.8215,916.73,688.9,160.3,0.63225,0.03333,24.264,0.5167,22.3376,438.52,-0.01754
256,22.3376,920.58,414.65,23.87,-0.49018,-0.50417,22.02,0.2479,22.7227,219.35,-0.00877
257,22.7227,922.92,216.7,2.64,0.14192,0.57413,23.284,0.7871,20.0082,376.7,-0.80848
258,20.0082,718.86,292.32,84.37,-0.44992,0.19921,22.1,0.5996,19.8252,239.63,-0.94943
259,19.8252,593.74,202.32,37.3,0.26296,-0.70664,23.526,0.1467,20.1509,58.91,-0.68161
260,20.1509,517.72,58.3,0.61,-1.0,0.17368,21.0,0.5868,18.9752,140.76,-1.62547
