step,t_zone,t_amb,hour,day,a0_raw,a1_raw,t_zone_next,delta_t,p_total,policy,season
32,24.1586,-12.8,9.0,1.38,0.85563,0.32307,25.4807,1.3221,50.1,random,winter
33,25.4807,-12.8,10.0,1.42,-0.43164,0.35196,20.0051,-5.4756,53.45,random,winter
34,20.0051,-12.8,11.0,1.46,-0.36553,-0.66962,17.6354,-2.3697,0.84,random,winter
35,17.6354,-13.9,12.0,1.5,0.52756,-0.42668,20.7195,3.084,4.08,random,winter
36,20.7195,-15.0,13.0,1.54,-0.77509,-0.28892,17.0388,-3.6807,7.78,random,winter
37,17.0388,-15.0,14.0,1.58,-0.43747,-0.14235,18.2352,1.1964,13.65,random,winter
38,18.2352,-15.0,15.0,1.62,0.63135,-0.04075,22.2644,4.0292,19.09,random,winter
39,22.2644,-16.1,16.0,1.67,0.28897,-0.78049,16.6321,-5.6322,0.3,random,winter
40,16.6321,-17.2,17.0,1.71,0.02135,-0.69966,16.2705,-0.3617,0.65,random,winter
41,16.2705,-17.8,18.0,1.75,-0.06906,-0.66242,14.791,-1.4795,0.89,random,winter
42,14.791,-17.8,19.0,1.79,0.88256,-0.08645,20.9404,6.1494,16.49,random,winter
43,20.9404,-18.3,20.0,1.83,0.58855,-0.04965,20.1525,-0.7879,18.57,random,winter
44,20.1525,-18.3,21.0,1.88,0.11248,0.39964,19.8254,-0.3271,59.31,random,winter
45,19.8254,-18.9,22.0,1.92,-0.52325,0.27384,16.5534,-3.272,44.71,random,winter
46,16.5534,-19.4,23.0,1.96,0.63325,0.57985,22.2933,5.7399,85.29,random,winter
47,22.2933,-18.9,0.0,2.0,0.40396,-0.22955,18.1265,-4.1669,9.89,random,winter
48,18.1265,-19.4,1.0,2.04,0.05872,-0.12574,17.2877,-0.8388,14.45,random,winter
49,17.2877,-18.9,2.0,2.08,0.228,-0.59716,14.51,-2.7777,1.45,random,winter
50,14.51,-18.9,3.0,2.12,0.35573,0.59636,20.6705,6.1605,88.0,random,winter
51,20.6705,-19.4,4.0,2.17,0.72459,0.99573,23.5238,2.8533,171.94,random,winter
52,23.5238,-20.0,5.0,2.21,0.17631,0.09147,18.3841,-5.1397,28.13,random,winter
53,18.3841,-20.6,6.0,2.25,0.90646,0.3022,21.8797,3.4956,47.76,random,winter
54,21.8797,-20.6,7.0,2.29,-0.85079,0.46553,14.9023,-6.9775,68.09,random,winter
55,14.9023,-20.6,8.0,2.33,-0.53637,0.48664,16.9715,2.0693,71.07,random,winter
56,16.9715,-20.6,9.0,2.38,-0.8172,0.28304,15.3487,-1.6229,45.69,random,winter
57,15.3487,-21.1,10.0,2.42,0.64609,0.14669,21.1621,5.8134,32.61,random,winter
58,21.1621,-22.2,11.0,2.46,0.6346,-0.72275,18.2552,-2.9069,0.53,random,winter
59,18.2552,-20.0,12.0,2.5,-0.5553,0.01242,19.0672,0.812,22.45,random,winter
60,19.0672,-18.9,13.0,2.54,0.00493,0.50483,22.2006,3.1333,73.71,random,winter
61,22.2006,-18.9,14.0,2.58,0.19973,-0.89165,18.1712,-4.0293,0.06,random,winter
62,18.1712,-19.4,15.0,2.62,-0.79983,-0.59375,17.7048,-0.4664,1.48,random,winter
63,17.7048,-20.6,16.0,2.67,0.74076,0.38817,24.4213,6.7165,57.86,random,winter
64,24.4213,-20.6,17.0,2.71,0.34528,0.76607,23.4644,-0.9569,119.15,random,winter
65,23.4644,-21.1,18.0,2.75,0.57306,0.0667,21.6437,-1.8208,26.25,random,winter
66,21.6437,-21.7,19.0,2.79,0.61512,0.17389,22.0015,0.3578,34.99,random,winter
67,22.0015,-21.7,20.0,2.83,0.19491,-0.87938,14.1734,-7.8281,0.08,random,winter
68,14.1734,-20.6,21.0,2.88,-0.54073,0.59915,17.4413,3.2679,88.46,random,winter
69,17.4413,-20.6,22.0,2.92,-0.75272,0.26218,15.7432,-1.6981,43.49,random,winter
70,15.7432,-20.6,23.0,2.96,0.82668,0.24551,21.9882,6.245,41.79,random,winter
71,21.9882,-22.2,0.0,3.0,0.17092,0.07604,18.6951,-3.2931,26.95,random,winter
72,18.6951,-23.3,1.0,3.04,-0.38346,0.59121,17.487,-1.2081,87.15,random,winter
73,17.487,-24.4,2.0,3.08,-0.98762,0.28943,13.9806,-3.5065,46.37,random,winter
74,13.9806,-23.3,3.0,3.12,-0.27029,0.63856,17.6805,3.7,95.16,random,winter
75,17.6805,-23.3,4.0,3.17,0.57384,-0.73513,12.8062,-4.8744,0.47,random,winter
76,12.8062,-23.3,5.0,3.21,0.8937,0.12687,20.3292,7.523,30.95,random,winter
77,20.3292,-23.3,6.0,3.25,-0.19067,0.72689,17.9979,-2.3312,111.39,random,winter
78,17.9979,-23.3,7.0,3.29,-0.62254,0.43439,15.5341,-2.4639,63.84,random,winter
79,15.5341,-23.9,8.0,3.33,0.60769,0.50921,22.4447,6.9106,74.36,random,winter
80,22.4447,-22.8,9.0,3.38,0.44416,-0.60136,18.1309,-4.3138,1.41,random,winter
81,18.1309,-20.0,10.0,3.42,0.96274,0.99906,27.8323,9.7014,172.8,random,winter
82,27.8323,-16.7,11.0,3.46,0.22551,0.1264,23.8072,-4.0251,30.91,random,winter
83,23.8072,-16.1,12.0,3.5,0.84665,0.41572,28.0102,4.203,61.38,random,winter
84,28.0102,-15.0,13.0,3.54,0.28652,-0.69226,24.3513,-3.6589,0.69,random,winter
85,24.3513,-11.7,14.0,3.58,-0.66858,0.61111,22.1985,-2.1527,296.08,random,winter
86,22.1985,-12.8,15.0,3.62,-0.54303,-0.435,22.6111,0.4125,41.85,random,winter
87,22.6111,-14.4,16.0,3.67,-0.04417,0.1021,23.3275,0.7165,28.96,random,winter
88,23.3275,-16.7,17.0,3.71,0.81578,0.39616,26.5568,3.2292,58.87,random,winter
89,26.5568,-20.0,18.0,3.75,0.26374,-0.16297,22.1363,-4.4205,12.69,random,winter
90,22.1363,-20.0,19.0,3.79,0.71534,0.53837,25.3662,3.2299,78.75,random,winter
91,25.3662,-19.4,20.0,3.83,0.92192,-0.98918,16.8577,-8.5084,0.0,random,winter
92,16.8577,-20.0,21.0,3.88,0.11461,-0.0162,20.6236,3.7659,20.6,random,winter
93,20.6236,-19.4,22.0,3.92,-0.42781,0.72603,19.5162,-1.1074,111.23,random,winter
94,19.5162,-18.9,23.0,3.96,-0.03637,0.07469,19.7987,0.2825,26.85,random,winter
95,19.7987,-18.9,0.0,4.0,0.90919,-0.58076,18.9901,-0.8086,1.62,random,winter
96,18.9901,-17.8,1.0,4.04,0.02745,-0.78105,15.3823,-3.6077,0.29,random,winter
97,15.3823,-18.3,2.0,4.08,-0.4082,0.36235,18.0973,2.715,54.69,random,winter
98,18.0973,-16.1,3.0,4.12,-0.31661,-0.58446,16.4886,-1.6087,1.58,random,winter
99,16.4886,-1.1,4.0,4.17,-0.06497,-0.55071,16.4146,-0.074,1.98,random,winter
100,16.4146,-11.7,5.0,4.21,0.12707,-0.90203,13.5712,-2.8435,0.05,random,winter
101,13.5712,-9.4,6.0,4.25,0.53429,0.51735,22.3553,8.7841,75.57,random,winter
102,22.3553,-11.1,7.0,4.29,-0.11415,-0.48152,17.0112,-5.3441,3.02,random,winter
103,17.0112,-5.6,8.0,4.33,-0.99353,-0.66766,17.0138,0.0026,0.85,random,winter
104,17.0138,-1.7,9.0,4.38,0.81039,-0.09802,25.476,8.4623,15.87,random,winter
105,25.476,2.2,10.0,4.42,-0.59514,0.01822,21.6989,-3.7771,47.15,random,winter
106,21.6989,4.4,11.0,4.46,-0.89251,-0.23829,21.9608,0.2619,224.12,random,winter
107,21.9608,7.2,12.0,4.5,0.05618,0.36953,26.3274,4.3666,55.56,random,winter
108,26.3274,8.9,13.0,4.54,-0.29151,-0.09138,25.9351,-0.3923,176.92,random,winter
109,25.9351,10.6,14.0,4.58,0.64363,0.49583,29.9779,4.0427,72.4,random,winter
110,29.9779,6.1,15.0,4.62,-0.56903,0.95899,24.0406,-5.9373,593.37,random,winter
111,24.0406,5.6,16.0,4.67,0.72204,-0.51631,27.899,3.8584,2.46,random,winter
112,27.899,3.3,17.0,4.71,0.66403,-0.10293,27.9242,0.0252,15.62,random,winter
113,27.9242,-1.1,18.0,4.75,0.21752,-0.20987,25.1526,-2.7716,10.67,random,winter
114,25.1526,-1.1,19.0,4.79,0.39945,-0.26561,25.1597,0.0071,8.57,random,winter
115,25.1597,-1.1,20.0,4.83,-0.85171,0.50866,20.2786,-4.8811,216.15,random,winter
116,20.2786,-3.3,21.0,4.88,0.34785,-0.1987,24.1694,3.8908,11.13,random,winter
117,24.1694,-2.2,22.0,4.92,-0.63559,-0.12765,20.5702,-3.5992,14.36,random,winter
118,20.5702,-2.8,23.0,4.96,-0.77453,-0.69506,19.6864,-0.8839,0.68,random,winter
119,19.6864,-2.2,0.0,5.0,0.55119,-0.97629,19.1736,-0.5128,0.0,random,winter
120,19.1736,-3.3,1.0,5.04,0.75724,-0.86261,19.7444,0.5709,0.1,random,winter
121,19.7444,-3.3,2.0,5.08,-0.49036,0.08441,20.1314,0.387,27.58,random,winter
122,20.1314,0.0,3.0,5.12,0.51455,0.62827,25.5045,5.3731,93.38,random,winter
123,25.5045,1.1,4.0,5.17,-0.752,-0.93951,17.831,-7.6735,0.02,random,winter
124,17.831,-2.8,5.0,5.21,0.39825,-0.27081,22.0898,4.2588,8.39,random,winter
125,22.0898,-2.2,6.0,5.25,0.03202,0.27784,22.1249,0.0351,45.13,random,winter
126,22.1249,-2.8,7.0,5.29,-0.1056,0.6512,22.2673,0.1424,97.38,random,winter
127,22.2673,-2.8,8.0,5.33,-0.28023,-0.91937,21.2384,-1.0289,0.03,random,winter
128,21.2384,2.2,9.0,5.38,0.3438,0.75038,27.3371,6.0987,116.0,random,winter
129,27.3371,7.2,10.0,5.42,0.55362,-0.65546,27.5406,0.2035,0.94,random,winter
130,27.5406,9.4,11.0,5.46,-0.94792,0.89647,22.6042,-4.9364,877.0,random,winter
131,22.6042,10.6,12.0,5.5,0.37452,0.69528,30.0491,7.4449,162.7,random,winter
132,30.0491,12.8,13.0,5.54,-0.47504,-0.5298,29.4228,-0.6263,304.89,random,winter
133,29.4228,11.7,14.0,5.58,0.41584,-0.1602,31.5309,2.1081,129.0,random,winter
134,31.5309,11.7,15.0,5.62,-0.05397,0.26086,29.0799,-2.4509,397.72,random,winter
135,29.0799,10.0,16.0,5.67,0.15384,0.13681,29.0538,-0.0261,162.87,random,winter
136,29.0538,5.0,17.0,5.71,0.81072,0.77536,31.6017,2.5478,121.04,random,winter
137,31.6017,4.4,18.0,5.75,-0.05455,-0.72159,26.8349,-4.7668,21.03,random,winter
138,26.8349,1.7,19.0,5.79,-0.88799,-0.73765,24.925,-1.9099,145.28,random,winter
139,24.925,2.2,20.0,5.83,0.71991,0.95109,29.7942,4.8692,160.66,random,winter
140,29.7942,2.8,21.0,5.88,-0.38152,0.03058,24.0621,-5.7321,100.33,random,winter
141,24.0621,0.0,22.0,5.92,0.84249,-0.83063,25.0635,1.0014,0.16,random,winter
142,25.0635,1.1,23.0,5.96,0.50308,0.85739,28.0248,2.9612,138.6,random,winter
143,28.0248,4.4,0.0,6.0,0.36265,-0.06435,26.0313,-1.9934,17.72,random,winter
144,26.0313,0.6,1.0,6.04,-0.16156,0.62497,23.9788,-2.0525,92.81,random,winter
145,23.9788,-0.6,2.0,6.08,0.91156,0.95094,29.6047,5.6259,160.62,random,winter
146,29.6047,-1.1,3.0,6.12,0.46486,-0.79551,22.9591,-6.6456,0.25,random,winter
147,22.9591,-2.8,4.0,6.17,0.84191,-0.74854,23.2156,0.2565,0.41,random,winter
148,23.2156,-2.2,5.0,6.21,-0.59262,0.52793,21.0369,-2.1787,77.16,random,winter
149,21.0369,-2.2,6.0,6.25,-0.00631,0.32603,23.3923,2.3554,50.43,random,winter
150,23.3923,-2.2,7.0,6.29,-0.45718,-0.25521,21.136,-2.2563,8.94,random,winter
151,21.136,-1.1,8.0,6.33,-0.89031,0.24056,21.2105,0.0745,302.55,random,winter
152,21.2105,0.6,9.0,6.38,-0.23518,0.64094,25.2025,3.992,202.04,random,winter
153,25.2025,4.4,10.0,6.42,0.75081,0.80079,31.3072,6.1047,126.32,random,winter
154,31.3072,6.7,11.0,6.46,0.94303,0.13257,32.7713,1.4641,31.42,random,winter
155,32.7713,6.7,12.0,6.5,-0.17659,-0.05711,29.6222,-3.1491,421.28,random,winter
156,29.6222,6.7,13.0,6.54,0.73489,-0.00416,33.4457,3.8235,85.75,random,winter
157,33.4457,7.8,14.0,6.58,-0.15628,-0.70868,32.9074,-0.5383,209.01,random,winter
158,32.9074,7.2,15.0,6.62,-0.38221,0.08319,29.2077,-3.6997,624.21,random,winter
159,29.2077,6.1,16.0,6.67,-0.67962,0.66427,25.8859,-3.3218,894.42,random,winter
160,25.8859,4.4,17.0,6.71,0.4489,0.98191,30.3602,4.4743,176.59,random,winter
161,30.3602,1.7,18.0,6.75,0.20548,0.88925,28.1568,-2.2034,145.86,random,winter
162,28.1568,0.0,19.0,6.79,0.54209,-0.57188,28.017,-0.1398,1.72,random,winter
163,28.017,-1.1,20.0,6.83,-0.66856,0.93565,23.0025,-5.0145,547.8,random,winter
164,23.0025,-2.2,21.0,6.88,0.68466,0.9202,29.3479,6.3453,153.15,random,winter
165,29.3479,-3.3,22.0,6.92,-0.18812,0.29252,24.6306,-4.7173,46.71,random,winter
166,24.6306,-3.3,23.0,6.96,-0.91256,0.53669,20.9806,-3.6499,396.08,random,winter
167,20.9806,-3.9,0.0,7.0,-0.50055,-0.00301,22.3639,1.3832,32.34,random,winter
168,22.3639,-3.9,1.0,7.04,0.55539,0.37727,26.8501,4.4862,56.51,random,winter
169,26.8501,-3.9,2.0,7.08,-0.44938,-0.58211,21.801,-5.0491,1.61,random,winter
170,21.801,-4.4,3.0,7.12,-0.56875,-0.12269,21.1639,-0.6371,14.61,random,winter
171,21.1639,-3.3,4.0,7.17,-0.08943,-0.01491,22.7331,1.5691,20.68,random,winter
172,22.7331,-2.2,5.0,7.21,0.77515,-0.74201,22.2042,-0.5289,0.44,random,winter
173,22.2042,-2.8,6.0,7.25,0.20284,-0.56864,21.7052,-0.4989,1.76,random,winter
174,21.7052,-3.3,7.0,7.29,0.52425,-0.63235,22.2277,0.5225,1.12,random,winter
175,22.2277,-2.8,8.0,7.33,-0.50823,-0.28006,22.4937,0.2659,29.01,random,winter
176,22.4937,-0.6,9.0,7.38,0.25135,0.89778,27.3912,4.8975,147.85,random,winter
177,27.3912,1.1,10.0,7.42,-0.13328,0.30464,26.5328,-0.8584,188.68,random,winter
178,26.5328,2.8,11.0,7.46,-0.208,0.68445,26.9852,0.4524,454.43,random,winter
179,26.9852,5.0,12.0,7.5,-0.61751,0.93839,25.4395,-1.5456,908.49,random,winter
180,25.4395,5.6,13.0,7.54,0.03795,-0.57003,31.0537,5.6142,170.02,random,winter
181,31.0537,6.1,14.0,7.58,-0.83125,0.47937,25.9878,-5.0659,966.8,random,winter
182,25.9878,7.8,15.0,7.62,-0.50026,-0.83993,31.2577,5.2699,133.53,random,winter
183,31.2577,6.1,16.0,7.67,-0.91158,0.35478,24.7933,-6.4644,810.89,random,winter
184,24.7933,4.4,17.0,7.71,-0.68142,-0.50608,26.728,1.9347,277.68,random,winter
185,26.728,2.8,18.0,7.75,0.66843,0.47374,29.683,2.955,69.24,random,winter
186,29.683,0.6,19.0,7.79,0.69941,-0.14951,28.6268,-1.0561,13.31,random,winter
187,28.6268,-0.6,20.0,7.83,-0.5777,-0.34609,23.9496,-4.6772,148.67,random,winter
188,23.9496,-2.2,21.0,7.88,-0.68075,0.16386,22.4856,-1.464,224.64,random,winter
189,22.4856,-3.3,22.0,7.92,-0.98318,0.56951,20.4041,-2.0815,411.49,random,winter
190,20.4041,-4.4,23.0,7.96,-0.14722,0.04938,23.3849,2.9808,25.0,random,winter
191,23.3849,-4.4,0.0,8.0,-0.34066,-0.93194,21.4224,-1.9624,0.02,random,winter
192,21.4224,-5.0,1.0,8.04,-0.90568,0.88838,19.5289,-1.8935,272.49,random,winter
193,19.5289,-4.4,2.0,8.08,-0.84487,0.22431,19.521,-0.008,62.58,random,winter
194,19.521,-5.0,3.0,8.12,-0.39968,0.83155,21.5004,1.9794,132.9,random,winter
195,21.5004,-3.9,4.0,8.17,0.63839,0.2707,25.6638,4.1634,44.38,random,winter
196,25.6638,-3.9,5.0,8.21,-0.55992,0.68195,20.4213,-5.2424,102.92,random,winter
197,20.4213,-3.9,6.0,8.25,-0.93597,0.77215,18.3938,-2.0275,120.38,random,winter
198,18.3938,-2.8,7.0,8.29,-0.8556,-0.37532,18.5423,0.1484,5.27,random,winter
199,18.5423,-3.3,8.0,8.33,0.40364,0.44497,26.6792,8.1369,65.26,random,winter
200,26.6792,1.1,9.0,8.38,-0.92736,-0.67457,23.4706,-3.2087,146.78,random,winter
201,23.4706,5.0,10.0,8.42,-0.73322,-0.11711,24.2423,0.7717,339.21,random,winter
202,24.2423,7.8,11.0,8.46,0.58501,0.82195,30.6911,6.4488,130.82,random,winter
203,30.6911,10.6,12.0,8.5,0.20341,0.00136,30.1549,-0.5363,200.0,random,winter
204,30.1549,12.2,13.0,8.54,0.33377,0.27885,31.1356,0.9807,257.86,random,winter
205,31.1356,11.7,14.0,8.58,0.64496,-0.56295,33.1557,2.0201,49.25,random,winter
206,33.1557,12.2,15.0,8.62,0.4557,-0.6015,32.57,-0.5856,82.4,random,winter
207,32.57,8.3,16.0,8.67,-0.52433,-0.00112,27.4508,-5.1192,521.2,random,winter
208,27.4508,6.1,17.0,8.71,0.96846,0.18,32.3541,4.9033,35.54,random,winter
209,32.3541,3.9,18.0,8.75,-0.50534,0.15192,25.3241,-7.03,365.31,random,winter
210,25.3241,2.2,19.0,8.79,-0.17361,0.453,25.8065,0.4824,171.39,random,winter
211,25.8065,1.7,20.0,8.83,0.79348,-0.52468,27.8955,2.089,2.34,random,winter
212,27.8955,0.6,21.0,8.88,-0.19478,-0.86094,25.0972,-2.7983,3.34,random,winter
213,25.0972,0.0,22.0,8.92,-0.01202,0.76339,25.5125,0.4153,118.61,random,winter
214,25.5125,0.0,23.0,8.96,0.02535,0.51241,25.3358,-0.1767,74.83,random,winter
215,25.3358,0.0,0.0,9.0,0.25751,-0.44221,25.057,-0.2788,3.75,random,winter
216,25.057,2.8,1.0,9.04,-0.43672,0.06699,22.876,-2.181,34.94,random,winter
217,22.876,2.8,2.0,9.08,-0.69748,0.10696,21.5943,-1.2817,133.88,random,winter
218,21.5943,4.4,3.0,9.12,0.71598,-0.84291,23.1934,1.5991,0.14,random,winter
219,23.1934,4.4,4.0,9.17,-0.63613,-0.12349,21.2506,-1.9429,27.32,random,winter
220,21.2506,2.8,5.0,9.21,0.08345,-0.59412,22.3584,1.1078,1.48,random,winter
221,22.3584,1.7,6.0,9.25,-0.23097,-0.12448,22.0981,-0.2603,14.52,random,winter
222,22.0981,1.7,7.0,9.29,0.67454,0.29237,26.9396,4.8416,46.69,random,winter
223,26.9396,2.2,8.0,9.33,0.99306,0.60505,30.7838,3.8442,89.44,random,winter
224,30.7838,5.6,9.0,9.38,-0.85522,-0.10892,23.6317,-7.1522,377.76,random,winter
225,23.6317,8.3,10.0,9.42,0.71365,-0.22542,30.6103,6.9787,10.05,random,winter
226,30.6103,11.7,11.0,9.46,0.23328,-0.31203,30.5854,-0.0249,140.79,random,winter
227,30.5854,14.4,12.0,9.5,-0.86543,-0.73924,31.0855,0.5001,288.4,random,winter
228,31.0855,15.6,13.0,9.54,0.31171,0.16822,32.0356,0.9502,346.32,random,winter
229,32.0356,14.4,14.0,9.58,-0.34115,0.3444,29.3096,-2.726,762.47,random,winter
230,29.3096,16.1,15.0,9.62,-0.22453,-0.10688,30.2747,0.9651,485.05,random,winter
231,30.2747,10.6,16.0,9.67,0.02181,0.72734,29.1986,-1.076,513.25,random,winter
232,29.1986,9.4,17.0,9.71,-0.3394,-0.99104,31.2775,2.0788,6.35,random,winter
233,31.2775,5.0,18.0,9.75,0.26211,0.48405,28.7741,-2.5034,76.98,random,winter
234,28.7741,2.8,19.0,9.79,0.02369,-0.86751,27.7939,-0.9802,13.44,random,winter
235,27.7939,2.2,20.0,9.83,0.2142,-0.47309,27.3513,-0.4426,3.17,random,winter
236,27.3513,1.1,21.0,9.88,-0.66491,0.45973,23.3746,-3.9767,408.2,random,winter
237,23.3746,0.0,22.0,9.92,0.42476,-0.85586,25.5338,2.1592,0.11,random,winter
238,25.5338,0.0,23.0,9.96,-0.12258,-0.76528,24.5495,-0.9844,0.35,random,winter
239,24.5495,0.0,0.0,10.0,-0.41657,-0.97639,23.725,-0.8245,1.66,random,winter
240,23.725,0.0,1.0,10.04,-0.50421,0.60996,22.5747,-1.1503,143.87,random,winter
241,22.5747,0.0,2.0,10.08,-0.08984,-0.51684,23.2221,0.6474,2.45,random,winter
242,23.2221,-1.1,3.0,10.12,-0.30326,-0.27021,22.6483,-0.5738,8.41,random,winter
243,22.6483,1.1,4.0,10.17,0.85349,-0.03707,27.2231,4.5748,19.31,random,winter
244,27.2231,2.2,5.0,10.21,0.21941,-0.23359,24.3205,-2.9025,9.74,random,winter
245,24.3205,2.2,6.0,10.25,-0.31322,-0.21696,22.2487,-2.0718,10.39,random,winter
246,22.2487,2.8,7.0,10.29,0.35342,-0.66447,22.8167,0.5681,0.87,random,winter
247,22.8167,2.8,8.0,10.33,-0.85125,-0.9639,22.3921,-0.4247,10.48,random,winter
248,22.3921,5.6,9.0,10.38,-0.42767,-0.07512,22.8224,0.4304,17.11,random,winter
249,22.8224,6.1,10.0,10.42,-0.86503,-0.95516,23.2168,0.3943,16.9,random,winter
250,23.2168,7.8,11.0,10.46,0.72698,-0.88686,27.4207,4.204,0.07,random,winter
251,27.4207,12.8,12.0,10.5,0.95463,-0.95575,29.6832,2.2625,0.01,random,winter
252,29.6832,15.6,13.0,10.54,0.81673,-0.74285,31.568,1.8847,0.44,random,winter
253,31.568,15.0,14.0,10.58,-0.17783,-0.74661,30.9846,-0.5833,140.9,random,winter
254,30.9846,15.0,15.0,10.62,0.2096,0.47428,30.0744,-0.9102,313.7,random,winter
255,30.0744,13.9,16.0,10.67,0.46972,-0.0313,30.5801,0.5057,27.58,random,winter
256,30.5801,8.9,17.0,10.71,0.60652,0.13639,30.5008,-0.0792,31.74,random,winter
257,30.5008,5.6,18.0,10.75,0.1381,-0.31721,27.3978,-3.103,6.89,random,winter
258,27.3978,4.4,19.0,10.79,-0.74623,-0.22083,24.0575,-3.3403,291.17,random,winter
259,24.0575,3.9,20.0,10.83,0.40231,0.27141,27.6266,3.5691,44.46,random,winter
260,27.6266,1.7,21.0,10.88,0.27465,0.12411,26.6053,-1.0213,30.73,random,winter
261,26.6053,0.6,22.0,10.92,0.83719,0.16622,28.6607,2.0554,34.31,random,winter
262,28.6607,-0.6,23.0,10.96,-0.43404,0.1792,23.1912,-5.4694,76.93,random,winter
263,23.1912,0.0,0.0,11.0,0.76581,0.81843,29.06,5.8688,130.06,random,winter
264,29.06,0.6,1.0,11.04,0.55703,-0.58726,24.9025,-4.1575,1.55,random,winter
265,24.9025,0.0,2.0,11.08,-0.29226,-0.44764,22.6921,-2.2104,3.65,random,winter
266,22.6921,-0.6,3.0,11.12,0.05453,-0.1305,23.7549,1.0628,14.22,random,winter
267,23.7549,-0.6,4.0,11.17,-0.67251,-0.33775,20.9162,-2.8387,14.38,random,winter
268,20.9162,-0.6,5.0,11.21,-0.25836,-0.0029,22.1171,1.2009,21.44,random,winter
269,22.1171,-0.6,6.0,11.25,-0.73586,-0.93615,19.8623,-2.2548,0.02,random,winter
270,19.8623,-2.2,7.0,11.29,-0.63194,0.69311,20.7525,0.8902,104.98,random,winter
271,20.7525,-1.1,8.0,11.33,-0.70501,-0.45492,22.7137,1.9612,114.73,random,winter
272,22.7137,2.8,9.0,11.38,-0.2241,-0.16242,25.5661,2.8524,87.93,random,winter
273,25.5661,5.6,10.0,11.42,-0.41017,0.9072,25.259,-0.3071,546.1,random,winter
274,25.259,9.4,11.0,11.46,0.89659,-0.99432,30.7562,5.4973,0.0,random,winter
275,30.7562,10.0,12.0,11.5,-0.80202,-0.12544,27.5413,-3.215,650.17,random,winter
276,27.5413,12.2,13.0,11.54,0.6119,0.47919,32.776,5.2348,217.06,random,winter
277,32.776,12.2,14.0,11.58,-0.0527,0.10447,30.7567,-2.0193,509.78,random,winter
278,30.7567,13.3,15.0,11.62,0.1862,0.70532,30.7587,0.002,529.39,random,winter
